iter	RMSE
0	14.69866865
1	14.41204041
2	14.14978347
3	13.86597826
4	13.60149299
5	13.37553316
6	13.13187736
7	12.91394713
8	12.69723105
9	12.46607304
10	12.2236652
11	12.02795159
12	11.81598373
13	11.61437992
14	11.4031854
15	11.19103969
16	10.99671963
17	10.82239683
18	10.6363719
19	10.46809184
20	10.30989236
21	10.15105327
22	10.00165141
23	9.846800705
24	9.693084888
25	9.5545218
26	9.415224025
27	9.298282848
28	9.166331922
29	9.047121215
30	8.920016313
31	8.805511184
32	8.690967892
33	8.584123027
34	8.466322098
35	8.361513165
36	8.255364347
37	8.165537668
38	8.06745763
39	7.977574043
40	7.889095352
41	7.803080386
42	7.71958221
43	7.644065756
44	7.573425226
45	7.494972185
46	7.418819833
47	7.347899515
48	7.276736417
49	7.213141394
50	7.144313154
51	7.078908504
52	7.020012061
53	6.962833923
54	6.901769917
55	6.850017467
56	6.79515534
57	6.749669992
58	6.703799088
59	6.660213884
60	6.617317188
61	6.574542789
62	6.536363392
63	6.492732658
64	6.45476349
65	6.410147416
66	6.37244689
67	6.338900082
68	6.301402122
69	6.264817237
70	6.229104602
71	6.199963603
72	6.172145828
73	6.139611651
74	6.109584964
75	6.080950975
76	6.052489579
77	6.03033455
78	6.007450154
79	5.979116201
80	5.952706143
81	5.928067327
82	5.905713841
83	5.882716627
84	5.861590236
85	5.841477593
86	5.816760878
87	5.79609791
88	5.776611031
89	5.756148207
90	5.736825382
91	5.719218615
92	5.702771372
93	5.686230863
94	5.670398344
95	5.656485214
96	5.639910003
97	5.625963573
98	5.6119654
99	5.597546296
100	5.582893572
101	5.570804376
102	5.556826904
103	5.5427008
104	5.529589946
105	5.514977994
106	5.5005137
107	5.489764511
108	5.478754072
109	5.467684844
110	5.45749491
111	5.446545384
112	5.435288888
113	5.426802857
114	5.418842541
115	5.408485555
116	5.398973827
117	5.38932732
118	5.381486326
119	5.374282258
120	5.369519217
121	5.361877006
122	5.353426799
123	5.344407664
124	5.335528986
125	5.327367845
126	5.320556214
127	5.313878491
128	5.306907112
129	5.297514224
130	5.292390497
131	5.28677491
132	5.280491462
133	5.275878007
134	5.271367831
135	5.263553073
136	5.256693165
137	5.251192807
138	5.245746858
139	5.241586307
140	5.236490347
141	5.232951669
142	5.225185572
143	5.21939104
144	5.214326335
145	5.209494685
146	5.202654173
147	5.195700992
148	5.189508357
149	5.183976245
150	5.179765222
151	5.174826329
152	5.170999487
153	5.164763335
154	5.159630147
155	5.153853824
156	5.147560063
157	5.1420348
158	5.137446724
159	5.128480704
160	5.123764585
161	5.117726536
162	5.114622924
163	5.109957143
164	5.10269693
165	5.097763815
166	5.09197434
167	5.088222163
168	5.083677999
169	5.080116592
170	5.076045405
171	5.07250392
172	5.069811438
173	5.066704048
174	5.063990417
